instance,n,number of cycles,covered squares,cpu_time (s),solution found
576d80dd-503c-48f6-84e0-ccf09a113d25.singles,5,18,6,0.001725761,True
414abfba-ca96-4477-9e4d-887a62b555c7.singles,5,35,7,0.002347854,True
7cee6de5-ba73-4396-b6e7-31ea69ee475e.singles,5,23,7,0.00185909,True
f9ea62ce-6871-4edc-8f06-d53645b2ad7a.singles,5,6,7,0.001465785,True
47945346-63dd-4bf1-9bea-b2e7532674ed.singles,5,12,8,0.001661851,True
bb53c261-e1f3-43d2-a1b0-e6fff6d68b3e.singles,5,8,6,0.001504556,True
b8644f71-b404-416f-b94d-4a7e7cc1ff2b.singles,5,16,7,0.001737152,True
17cfa5f9-4df6-48bf-a07d-24b844ba9521.singles,5,15,7,0.001773539,True
7d82aa22-9ce1-4389-ad17-c448123068d6.singles,5,13,7,0.001506319,True
ce27dea8-209f-4294-bde2-c076bcb39785.singles,5,16,7,0.001929493,True
7ef13750-9c4e-4733-b140-48e91db9f0ea.singles,5,22,7,0.002054676,True
