instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
6a6c6c1c-6e51-4ce6-9c59-b4163a720319.singles,5,0.001482981,0.0001895194299999999,0.0008417980500000001,2.835e-06,2.4486919999999996e-05,0,100,24,17,7,0,0,0,2,0
6abd4c84-c006-479a-9979-d021da969507.singles,5,0.001994171,0.00018184224,0.0007849366200000001,1.383e-06,0.00037382127999999995,1,100,34,16,7,0,0,0,1,0
6b0ee180-5237-428d-a785-977aac5ce0a0.singles,5,0.00168499,0.00019545057999999997,0.0003537786699999999,1.693e-06,0.00034787175,1,100,3,14,7,0,0,1,1,0
6b671167-8db4-48f7-ab7b-7a09577bdac5.singles,5,0.001349379,0.00019439760000000003,0.00048112357000000013,1.693e-06,2.5348129999999994e-05,0,100,7,14,7,0,0,0,1,0
6b8db92b-13e1-4e40-ac78-38370c0339ca.singles,5,0.001307807,0.00018400190000000002,0.00130665259,1.392e-06,2.4343729999999997e-05,0,100,73,17,7,0,0,0,2,0
6baa995a-53ae-4a5f-a9ef-d5d3e73aa911.singles,5,0.001367272,0.00018247908000000007,0.00037236897000000006,1.362e-06,2.570830999999998e-05,0,100,4,14,6,0,0,0,0,0
6bed2a7a-886f-478d-95ad-4aa918a52710.singles,5,0.001436825,0.00018189580999999994,0.0006264006899999999,1.643e-06,2.4473129999999997e-05,0,100,13,16,7,0,0,0,3,0
6bf2c0cc-cdbf-458a-9fde-4f96c3216301.singles,5,0.001355854,0.00018570516000000005,0.0007963358099999997,1.533e-06,2.4898460000000003e-05,0,100,19,17,7,0,0,1,2,0
6c3dfcb9-c6dc-4d92-aef4-ee77dd7be86c.singles,5,0.001322156,0.00018239550999999996,0.00046178928000000007,3.387e-06,2.425921e-05,0,100,7,15,7,0,0,0,1,0
6c4969d1-736e-44eb-9426-623012fb943e.singles,5,0.001764887,0.00019677127,0.0012643895400000005,1.332e-06,0.0004132381200000001,1,100,69,16,6,0,0,0,1,0
6c52a039-5586-4e71-8e9b-8b3e3f1fbdd7.singles,5,0.001366319,0.00019102412999999995,0.0026473168499999995,1.403e-06,2.5032619999999993e-05,0,100,208,19,8,0,0,1,1,0
6c7bb89e-7f3d-4e4b-97a0-3dca5a15435d.singles,5,0.001401751,0.00019325839,0.00028876148000000004,1.713e-06,2.4357679999999997e-05,0,100,2,14,8,0,0,0,2,0
6cb8acf4-35fb-4ce7-9469-227cc21ab416.singles,5,0.002623207,0.00018612980999999993,0.0005525670299999998,3.677e-06,0.0007031897099999997,2,100,11,15,7,0,0,0,1,0
6cbdc84f-fe31-43d4-bb1a-3ffe952ddd35.singles,5,0.001382595,0.00018455233000000003,0.0025310076699999995,1.453e-06,2.4970470000000006e-05,0,100,206,17,7,0,0,0,2,0
6cf0b780-50ef-4a5d-a4f8-192e5751def8.singles,5,0.001331066,0.00018412343999999996,0.0008887757699999998,1.393e-06,2.6195519999999998e-05,0,100,36,16,7,0,0,1,1,1
6cfa611c-b883-4173-afde-e202890d88b5.singles,5,0.001305605,0.00018360358000000002,0.00077311301,1.382e-06,2.4053049999999995e-05,0,100,22,16,8,0,0,0,1,1
6d1c2d56-b956-40e4-bdea-39980e2a7c7d.singles,5,0.001410421,0.00018801773000000005,0.00020153825000000008,1.413e-06,2.6540459999999998e-05,0,100,1,13,7,0,0,0,1,0
6d45e6e6-ba85-4859-a3b9-94dbb2e251ff.singles,5,0.001345741,0.00019983012000000005,0.00021730606000000004,1.312e-06,2.505033999999999e-05,0,100,1,14,8,0,0,0,0,1
6d7ed034-04cd-4c20-8e7d-fb7471982334.singles,5,0.00217049,0.00019656351000000002,0.00058204546,1.352e-06,0.0007333408500000003,2,100,10,16,7,0,0,0,1,0
6dea4333-3b62-4b15-a979-66a342c775d1.singles,5,0.001371818,0.00018173202999999998,0.0005114068000000001,1.463e-06,2.5318670000000024e-05,0,100,9,14,6,0,0,1,2,0
6e99907c-020f-42af-bbfa-4eee47f534ec.singles,5,0.002599286,0.00019146707999999994,0.00097606393,1.483e-06,0.0010879893099999996,3,100,37,18,8,0,0,0,1,0
6ee5f099-154b-4eac-8546-6e5eff4d5565.singles,5,0.00138295,0.00018567084,0.0006305391500000001,1.593e-06,2.4476650000000002e-05,0,100,15,16,7,0,0,0,1,0
6f484a6f-b16e-4d7f-8e22-346eb00cb9a0.singles,5,0.001793285,0.00019262223000000004,0.00084168752,1.402e-06,2.549422999999999e-05,0,100,27,15,6,0,0,0,2,0
6f7f6114-c485-45de-be8b-0b24a877068f.singles,5,0.002341702,0.00018051310999999998,0.00034221889999999996,1.683e-06,0.0004447004899999999,1,100,4,13,6,0,0,0,0,0
6faa7545-8ce8-4356-8948-281b81c5411d.singles,5,0.001454273,0.00018422391,0.0007501499200000002,1.713e-06,2.419178000000001e-05,0,100,23,17,7,0,0,0,2,0
6fb36a7d-c8e5-495e-bcf1-ed424f5503c7.singles,5,0.009174754,0.00021578463999999992,0.00039627703,1.503e-06,0.021847487289999995,16,100,4,16,8,0,0,0,2,0
6fc1d745-6e42-4676-b8d3-62d1dcfb8dfc.singles,5,0.002259334,0.00018527441999999998,0.0006781511900000002,1.743e-06,0.0007054363599999998,2,100,15,16,7,0,0,0,2,0
6fc7cbee-5179-4720-bece-8602db52e8d6.singles,5,0.001368622,0.00018549194999999995,0.0007955692699999997,1.342e-06,2.4688590000000002e-05,0,100,21,18,8,0,0,0,1,0
702b880c-b2ca-4383-84ce-2c722757e730.singles,5,0.004067131,0.00018763220999999997,0.0006604757799999999,1.462e-06,0.003128616380000001,6,100,21,14,6,0,0,0,1,0
703b5dae-ddbd-468d-b39c-9575c2009256.singles,5,0.003019745,0.00018759711000000006,0.0006851507400000002,2.404e-06,0.001254774,2,100,21,16,7,0,0,0,1,0
705437a4-5dce-4b20-89a5-a5c54f1aa461.singles,5,0.001384202,0.00018397004999999998,0.0005145876200000003,2.325e-06,2.4476919999999987e-05,0,100,9,15,7,0,0,0,2,0
70635227-13d4-4f66-8106-9cf631ed368b.singles,5,0.001334499,0.00018320470999999994,0.0008570845399999999,1.613e-06,2.5259570000000003e-05,0,100,22,17,6,0,0,0,1,0
709bd54c-ddb9-4eb4-b76f-fac091fb47e2.singles,5,0.001345103,0.00020268019,0.0006483913199999999,1.593e-06,2.4585419999999988e-05,0,100,12,17,7,0,0,0,1,0
70d458ea-b023-4358-979a-e68f7c00fb38.singles,5,0.001384937,0.0001852678400000001,0.0014616333899999995,3.346e-06,2.4747710000000008e-05,0,100,78,18,7,0,0,0,2,0
70d5a4af-3eb2-40d6-a706-5f791710e1e0.singles,5,0.001334723,0.00018081648,0.00053468214,1.493e-06,2.4122859999999996e-05,0,100,9,17,8,0,0,0,1,0
714a5b25-1e52-47ff-a4a5-a2fe0bde1ead.singles,5,0.001756666,0.00018274044000000006,0.0006184077,1.573e-06,0.0003435786999999999,1,100,16,14,7,0,0,0,1,1
7179082c-d377-4f28-b832-e5466562d72f.singles,5,0.001357857,0.0001801289799999999,0.0006754590199999999,1.483e-06,2.4940520000000014e-05,0,100,23,14,6,0,0,0,1,0
71b81bb6-5356-4f34-8cb8-e54f1b72434b.singles,5,0.001331588,0.00019274991000000003,0.0003241196699999999,1.973e-06,2.4976890000000004e-05,0,100,4,12,6,0,0,0,2,0
71ca97e6-aafe-473c-9cac-48f69a546075.singles,5,0.0013963,0.00018272888999999997,0.00072139136,1.443e-06,2.414018e-05,0,100,16,17,7,0,0,0,1,0
721e608d-2de8-4b21-9d85-833e154a7669.singles,5,0.002021967,0.00018327715999999993,0.00039732321,1.683e-06,0.00037039531,1,100,6,13,7,0,0,1,1,0
72e78af6-0d0a-4ef0-84e5-893d8dd536d1.singles,5,0.001414025,0.00018229751999999995,0.0010656214099999998,1.813e-06,2.408590999999999e-05,0,100,50,18,8,0,0,0,1,0
73869876-c985-4e55-ba7c-1ad871a828eb.singles,5,0.001401809,0.00019625444999999997,0.0004862347899999999,1.663e-06,2.597026e-05,0,100,7,15,6,0,0,1,1,0
739fa0b1-b7f6-4113-86b0-c135054e9937.singles,5,0.001828856,0.00018250137000000007,0.0007310088300000002,1.643e-06,0.00034310023999999995,1,100,21,17,8,0,0,0,2,0
73c43ebf-3014-4621-8839-174bd04077c8.singles,5,0.001737766,0.00018333694999999998,0.00021604367000000002,4.669e-06,0.0003425934499999999,1,100,1,12,6,0,0,0,0,0
73fadc6d-594e-41be-8281-f41f3a49b262.singles,5,0.001438475,0.00018606051999999997,0.000630758,1.413e-06,2.559418000000001e-05,0,100,15,14,6,0,0,0,1,0
743ee371-e5e6-4d5a-ae70-a1df17418a6c.singles,5,0.002123523,0.00018611568000000006,0.0005182141699999998,1.383e-06,2.6256760000000003e-05,0,100,11,13,5,0,0,0,2,0
747c6108-c9a3-4dfd-b616-1c6f5e950527.singles,5,0.237049258,0.0002365139099999999,0.00047068652999999994,1.493e-06,0.15891238137,50,100,7,12,7,0,0,0,1,0
74f0048c-675e-4e45-a306-f39785a6bb7a.singles,5,0.002056246,0.00018727218,0.0006909641600000001,2.094e-06,0.0003563828000000001,1,100,17,16,7,0,0,0,2,0
7502ba91-06fc-44ee-99b2-4032d01e718a.singles,5,0.002078259,0.00018992089000000005,0.0005849461900000001,1.713e-06,0.0006149555099999997,1,100,14,15,7,0,0,0,2,0
750ae432-3b8a-4499-acda-9fbe87dce046.singles,5,0.001721966,0.00019171667000000007,0.0007198209000000004,1.372e-06,0.00036287399000000005,1,100,18,17,7,0,0,0,0,0
755e2606-0d25-46c1-95cf-c51e67a48105.singles,5,0.001473506,0.00018434172000000003,0.0014868798,1.453e-06,2.432732000000002e-05,0,100,59,20,8,0,0,0,3,0
