instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
14609c4b-0ad5-46b5-a0b3-160606df19cf.singles,10,0.003285651,0.000509831,0.002107012,1.563e-06,72,63,29,0,0,2,3,0
147247ed-bafd-498b-9ada-114596c46e8f.singles,10,0.485262101,0.000508037,0.016209553,1.844e-06,1191,62,30,0,0,0,2,0
14757840-e730-479b-a4ac-7227addda9f5.singles,10,0.003707105,0.00051457,0.024861511,2.014e-06,1844,67,29,0,0,2,2,0
14e6df24-582b-4c18-86eb-9bc8454a44e8.singles,10,1.701449237,0.000561318,0.002964788,2.324e-06,115,57,27,0,0,3,3,1
152d64ff-02a4-45ea-8ec1-71ced7f3c16c.singles,10,0.004133922,0.000535931,0.019537994,2.003e-06,1413,67,29,0,0,3,3,0
155e8203-617d-42a7-99f7-54b486138cbb.singles,10,0.003915823,0.00054628,0.008099466,1.633e-06,504,63,29,0,0,0,0,1
15cceb08-6b44-4a9a-a605-b4b3f01a1c00.singles,10,0.008426319,0.000550848,0.049674125,1.923e-06,3342,66,30,0,0,2,4,0
15f341eb-5f30-438d-9c1a-911cec182c17.singles,10,0.003401655,0.000574553,0.029049911,1.894e-06,2084,67,31,0,0,1,2,0
1617f69a-15d6-4018-b682-d5ca0dd19109.singles,10,0.003524706,0.000592566,0.453393567,1.884e-06,35342,63,29,0,0,5,1,0
161c2f68-6001-4f82-9e6f-f8c38188294c.singles,10,0.003948155,0.000560045,0.008498268,1.673e-06,476,61,29,0,0,3,2,0
16452e21-a733-4c6b-b98a-aa19bb262adc.singles,10,0.003425891,0.000503248,0.011032665,2.274e-06,496,63,30,0,0,1,3,0
16a43970-3592-48d9-927b-3cfddcc05098.singles,10,0.004001494,0.000505022,0.00350658,1.412e-06,167,58,29,0,0,1,4,0
16f9f482-e57b-4083-8c09-72e18c5c7f88.singles,10,3.140331642,0.00049346,0.011466983,1.693e-06,695,59,30,0,0,1,2,1
170c04cc-432e-4307-8712-bf3f54b554a0.singles,10,0.011807195,0.000537182,0.023340483,2.154e-06,2064,64,29,0,0,2,4,0
1718f98a-27a4-4dc1-a915-ca86b7b9ef13.singles,10,0.005723027,0.000529028,0.002155543,1.523e-06,51,58,26,0,0,0,3,0
171b58e1-e002-4dbe-9e77-a975b1c86f8e.singles,10,0.016275511,0.000538315,0.012406204,2.615e-06,788,61,28,0,0,0,5,0
17222c61-9345-4a31-a664-80175781d0b2.singles,10,0.003250404,0.000516263,0.062405978,1.292e-06,3970,67,30,0,0,2,4,0
1796c4e0-2aff-4973-afc4-9c54cb50a87e.singles,10,0.005395404,0.000531222,0.023114675,1.493e-06,1575,65,30,0,0,1,2,0
17b5bfed-3928-4284-9368-0f55e3f5db37.singles,10,0.00335045,0.000552621,0.046092752,1.483e-06,3635,68,29,0,0,1,2,0
181184b6-ed4b-46ad-8a66-f50bd6666630.singles,10,0.00329694,0.000540629,0.099482196,1.433e-06,8708,61,28,0,0,2,3,0
193ab65b-6f56-4b36-82ce-a30f1c938e97.singles,10,0.00393452,0.000541912,0.013131141,1.623e-06,709,64,29,0,0,2,3,0
19884341-4194-4ea3-98ea-a3d33a34e4a0.singles,10,0.004877657,0.000568982,0.004767255,1.432e-06,305,59,28,0,0,1,2,0
1a0d1102-1e7a-4344-bc7e-d632db3c5a9e.singles,10,0.003399391,0.000495033,0.010836284,1.573e-06,618,65,29,0,0,3,3,0
1a3a3c58-7e94-42f1-8a0c-49f948a98179.singles,10,0.003458643,0.000514199,0.014046306,1.674e-06,741,65,29,0,0,0,3,0
1a933dd5-9e1a-4a1e-a9ba-b5e1cf3b8723.singles,10,0.046157356,0.000561357,0.060697896,2.144e-06,4027,70,30,0,0,1,4,0
